id|sid|name|etype
309|40|57.15 - 63.5KG (Lightweight)|m
310|40|63.5 - 71.67KG (Middleweight)|m
311|19|1980 Yards Pursuit, Team|m
312|19|2000M Tandem|m
313|19|20KM|m
314|19|5000M|m
315|19|One Lap (660Y) Sprint|m
316|20|Epee Team|m
317|20|Sabre Team|m
318|44|Hockey|m
319|45|Individual|m
320|46|Double|m
321|46|Individual|m
322|37|12M|m
323|37|6M|m
324|37|7M|m
325|37|8M|m
326|22|1000Y Free Rifle, Prone|m
327|22|100M Running Deer, Double Shots|m
328|22|100M Running Deer, Single Shots|m
329|22|100M Running Deer, Single Shots, Team|m
330|22|25Y Small Bore Rifle, Disappearing Target|m
331|22|25Y Small Bore Rifle, Moving Target|m
332|22|300M Free Rifle 3 Positions (3X40 Shots)|m
333|22|50+100Y Small Bore Rifle, Team|m
334|22|50M Rifle Prone (60 Shots)|m
335|22|50Y Army Pistol, Team|m
336|22|Clay Pigeons, Team|m
337|22|Rifle, Team|m
338|47|Individual|m
339|47|Individual|w
340|47|Pairs|m
341|47|Pairs|w
342|47|Special Figures|m
343|23|Doubles Indoor|m
344|23|Singles Indoor|m
345|23|Singles Indoor|w
346|48|8M Class C|m
347|48|Class B Up To 60 Feet|m
348|48|Open Class A|m
349|43|- 54KG (Bantamweight)|m
350|43|+ 73KG (Heavyweight)|m
351|43|54 - 60.3KG (Featherweight)|m
352|43|60.3 - 66.6KG (Lightweight)|m
353|43|66.6 - 73KG (Middleweight)|m
354|25|- 66.6KG (Lightweight)|m
355|25|+ 93KG (Super Heavyweight)|m
356|25|66.6 - 73KG (Middleweight)|m
357|25|73 - 93KG (Light-Heavyweight)|m
358|39|10M Platform|w
359|39|Plain High Diving|m
360|16|100M Freestyle|w
361|16|4X100M Freestyle Relay|w
362|17|10000M|m
363|17|10000M Walk|m
364|17|3000M Team|m
365|17|4X100M Relay|m
366|17|5000M|m
367|17|Cross Country Individual|m
368|17|Cross Country Team|m
369|17|Discus Throw, Both Hands|m
370|17|Javelin Throw, Both Hands|m
371|17|Pentathlon|m
372|17|Shot Put, Both Hands|m
373|18|Individual Time Trial|m
374|18|Team Time Trial|m
375|49|Individual|m
376|50|Individual|m
377|50|Team|m
378|31|Team|m
379|21|Team, Free System|m
380|21|Team, Swedish System|m
381|51|Individual Competition|m
382|35|Coxed Fours Jugriggers|m
383|37|10M|m
384|22|25M Small Bore Rifle, Team|m
385|22|25M Small Rifle|m
386|22|30M Army Pistol, Team|m
387|22|50M Small Bore Rifle, Team|m
388|22|600M Free Rifle|m
389|23|Mixed Doubles Indoor|m
390|23|Mixed Doubles Indoor|w
391|25|- 60KG (Featherweight)|m
392|25|+ 82.5KG (Super Heavyweight)|m
393|25|60 - 67.5KG (Lightweight)|m
394|25|67.5 - 75KG (Middleweight)|m
395|25|75 - 82.5KG (Light-Heavyweight)|m
396|39|3M Springboard|w
397|16|400M Freestyle|w
398|27|Fixed Bird Target Large Birds|m
399|27|Fixed Bird Target Large Birds Teams|m
400|27|Fixed Bird Target Small Bird, Teams|m
401|27|Fixed Bird Target Small Birds|m
402|27|Moving Bird Target 28M Teams|m
403|27|Moving Bird Target 33M Teams|m
404|27|Moving Bird Target 50M Teams|m
405|27|Moving Bird Target, 28M|m
406|27|Moving Bird Target, 33M|m
407|27|Moving Bird Target, 50M|m
408|17|3000M Walk|m
409|40|- 50.8KG (Flyweight)|m
410|40|+ 79.38KG (Heavyweight)|m
411|40|50.8 - 53.52KG (Bantamweight)|m
412|40|53.52 - 57.15KG (Featherweight)|m
413|40|57.15 - 61.24KG (Lightweight)|m
414|40|61.24 - 66.68KG (Welterweight)|m
415|40|66.68 - 72.57KG (Middleweight)|m
416|40|72.57 - 79.38KG (Light-Heavyweight)|m
417|19|50KM|m
418|19|Team Pursuit (4000M)|m
419|52|Figure Riding Individual|m
420|52|Figure Riding Team|m
421|53|Ice Hockey|m
422|37|10M (Rating 1907)|m
423|37|10M (Rating 1919)|m
424|37|12 Foot Dinghy|m
425|37|12M (Rating 1907)|m
426|37|12M (Rating 1919)|m
427|37|18 Foot Dinghy|m
428|37|30M Sq|m
429|37|40M Sq|m
430|37|6.5M (Rating 1919)|m
431|37|6M (Rating 1907)|m
432|37|6M (Rating 1919)|m
433|37|7M|w
434|37|8M (Rating 1907)|m
435|37|8M (Rating 1919)|m
436|22|100M Running Deer, Double Shots, Team|m
437|22|300+600M Free Rifle, Team, Prone|m
438|22|300M Free Rifle, Prone, Team|m
439|22|300M Free Rifle, Standing, Team|m
440|22|50M Small Bore Rifle, Standing, Individual|m
441|22|600M Free Rifle, Prone|m
442|22|600M Free Rifle, Team|m
443|23|Doubles|w
444|24|- 60KG, One-Two Hand 3 Events (Featherweight)|m
445|24|+ 82.5KG, One-Two Hand 3 Events (Heavyweight)|m
446|24|60 - 67.5KG, One-Two Hand 3 Events (Lightweight)|m
447|24|67.5 - 75KG, One-Two Hand 3 Events (Middleweight)|m
448|24|75 - 82.5KG, One-Two Hand 3 E. (Light-Heavyweight)|m
449|43|- 60KG (Featherweight)|m
450|43|+ 80KG (Heavyweight)|m
451|43|60 - 67.5KG (Lightweight)|m
452|43|67.5 - 75KG (Middleweight)|m
453|43|75 - 80KG (Light-Heavyweight)|m
454|25|+ 82KG (Super Heavyweight)|m
455|25|75 - 82KG (Light-Heavyweight)|m
456|16|100M Backstroke|w
457|16|200M Breaststroke|w
458|50|Team|w
459|20|Foil Individual|w
460|21|Sidehorse Vault|m
461|37|Olympic Class Monotype|m
462|22|400, 600, 800M Free Rifle, Team|m
463|22|600M Free Rifle, Individual|m
464|24|- 60KG, One-Two Hand 5 Events (Featherweight)|m
465|24|+ 82.5KG, One-Two Hand 5 Events (Heavyweight)|m
466|24|60 - 67.5KG, One-Two Hand 5 Events (Lightweight)|m
467|24|67.5 - 75KG, One-Two Hand 5 Events (Middleweight)|m
468|24|75 - 82.5KG, One-Two Hand 5 E. (Light-Heavyweight)|m
469|43|- 56KG (Bantamweight)|m
470|43|+ 87KG (Heavyweight)|m
471|43|56 - 61KG (Featherweight)|m
472|43|61 - 66KG (Lightweight)|m
473|43|66 - 72KG (Welterweight)|m
474|43|72 - 79KG (Middleweight)|m
475|43|79 - 87KG (Light-Heavyweight)|m
476|25|- 58KG (Bantamweight)|m
477|25|58 - 62KG (Featherweight)|m
478|25|62 - 67.5KG (Lightweight)|m
479|17|100M|w
480|17|4X100M Relay|w
481|17|800M|w
482|17|Discus Throw|w
483|17|High Jump|w
484|19|1KM Pursuit|m
485|49|Team|m
486|31|Individual|w
487|21|Team Competition|w
488|37|12 Foot Dinghy Individual|m
489|37|8M|w
490|24|- 60KG, Total (Featherweight)|m
491|24|+ 82.5KG, Total (Heavyweight)|m
492|24|60 - 67.5KG, Total (Lightweight)|m
493|24|67.5 - 75KG, Total (Middleweight)|m
494|24|75 - 82.5KG, Total (Light-Heavyweight)|m
495|25|58 - 60KG (Featherweight)|m
496|17|50KM Walk|m
497|17|80M Hurdles|w
498|17|Javelin Throw|w
499|40|50.8 - 54KG (Bantamweight)|m
500|40|54 - 57.15KG (Featherweight)|m
501|21|Floor Exercises|m
502|21|Indian Clubs|m
503|21|Tumbling|m
504|37|Two-Person Keelboat Open (Star)|m
505|25|- 56KG (Bantamweight)|m
506|25|+ 87KG (Super Heavyweight)|m
507|25|56 - 61KG (Featherweight)|m
508|25|61 - 66KG (Lightweight)|m
509|25|66 - 72KG (Welterweight)|m
510|25|72 - 79KG (Middleweight)|m
511|25|79 - 87KG (Light-Heavyweight)|m
512|54|Basketball|m
513|55|C-1 1000M (Canoe Single)|m
514|55|C-2 10000M|m
515|55|C-2 1000M (Canoe Double)|m
516|55|Folding K-1 10000M|m
517|55|Folding K-2 10000M|m
518|55|K-1 10000M|m
519|55|K-1 1000M (Kayak Single)|m
520|55|K-2 10000M|m
521|55|K-2 1000M (Kayak Double)|m
522|56|Handball|m
523|17|200M|w
524|17|Long Jump|w
525|17|Shot Put|w
526|40|- 51KG (Flyweight)|m
527|40|+ 80KG (Heavyweight)|m
528|40|51 - 54KG (Bantamweight)|m
529|40|54 - 58KG (Featherweight)|m
530|40|58 - 62KG (Lightweight)|m
531|40|62 - 67KG (Welterweight)|m
532|40|67 - 73KG (Middleweight)|m
533|40|73 - 80KG (Light-Heavyweight)|m
534|55|C-1 10000M|m
535|55|K-1 500M (Kayak Single)|w
536|37|Dragon|m
537|37|Firefly Class|m
538|37|Swallow (Golondrina)|m
539|24|- 56KG, Total (Bantamweight)|m
540|24|56 - 60KG, Total (Featherweight)|m
541|43|- 52KG (Flyweight)|m
542|43|52 - 57KG (Bantamweight)|m
543|43|57 - 63KG (Featherweight)|m
544|43|63 - 67KG (Lightweight)|m
545|43|67 - 73KG (Welterweight)|m
546|43|73 - 79KG (Middleweight)|m
547|25|- 52KG (Flyweight)|m
548|25|52 - 57KG (Bantamweight)|m
549|25|57 - 61KG (Featherweight)|m
550|25|61 - 67KG (Lightweight)|m
551|25|67 - 73KG (Welterweight)|m
552|25|73 - 79KG (Middleweight)|m
553|40|+ 81KG (Heavyweight)|m
554|40|54 - 57KG (Featherweight)|m
555|40|57 - 60KG (Lightweight)|m
556|40|60 - 63.5KG (Light-Welterweight)|m
557|40|63.5 - 67KG (Welterweight)|m
558|40|67 - 71KG (Light-Middleweight)|m
559|40|71-75KG|m
560|40|75 - 81KG (Light-Heavyweight)|m
561|49|Individual|w
562|49|Team|w
563|21|Balance Beam|w
564|21|Floor Exercises|w
565|21|Individual All-Round|w
566|21|Team, Portable Apparatus|w
567|21|Uneven Bars|w
568|21|Vault|w
569|51|Team Competition|m
570|37|5.5M|m
571|37|5.5M|w
572|37|6M|w
573|37|Single-Handed Dinghy (Finn)|m
574|22|100M Running Deer, Single/Double Shots|m
575|22|50M Rifle 3 Positions (3X40 Shots)|m
576|24|+ 90KG, Total (Heavyweight)|m
577|24|82.5 - 90KG, Total (Middle-Heavyweight)|m
578|16|100M Butterfly|w
579|16|200M Butterfly|m
580|17|20KM Walk|m
581|31|Team|w
582|37|Sharpie 12M2|m
583|16|4X100M Medley Relay|m
584|16|4X100M Medley Relay|w
585|55|K-1 4X500M|m
586|55|K-2 500M (Kayak Double)|w
587|20|Foil Team|w
588|37|Flying Dutchman|m
589|16|400M Individual Medley|m
590|16|400M Individual Medley|w
591|16|4X100M Freestyle Relay|m
592|17|400M|w
593|17|Pentathlon|w
594|55|K-4 1000M (Kayak Four)|m
595|19|Individual Pursuit|m
596|57|- 68KG (Lightweight)|m
597|57|+ 80KG (Heavyweight)|m
598|57|68 - 80KG (Middleweight)|m
599|57|Open Category|m
600|58|Volleyball|m
601|58|Volleyball|w
602|43|+ 97KG (Heavyweight)|m
603|43|63 - 70KG (Lightweight)|m
604|43|70 - 78KG (Welterweight)|m
605|43|78 - 87KG (Middleweight)|m
606|43|87 - 97KG (Light-Heavyweight)|m
607|25|+ 97KG (Super Heavyweight)|m
608|25|57 - 63KG (Featherweight)|m
609|25|63 - 70KG (Lightweight)|m
610|25|70 - 78KG (Welterweight)|m
611|25|78 - 87KG (Middleweight)|m
612|25|87 - 97KG (Light-Heavyweight)|m
613|16|100M Breaststroke|m
614|16|100M Breaststroke|w
615|16|100M Butterfly|m
616|16|200M Backstroke|w
617|16|200M Butterfly|w
618|16|200M Freestyle|w
619|16|200M Individual Medley|m
620|16|200M Individual Medley|w
621|16|800M Freestyle|w
622|40|- 48KG (Light-Flyweight)|m
623|40|48 - 51KG (Flyweight)|m
624|22|Skeet (125 Targets)|m
625|27|Individual Fita Round|m
626|27|Individual Fita Round|w
627|17|100M Hurdles|w
628|17|1500M|w
629|17|4X400M Relay|w
630|59|C-1 (Canoe Single)|m
631|59|C-2 (Canoe Double)|m
632|59|K-1 (Kayak Single)|m
633|59|K-1 (Kayak Single)|w
634|57|- 63KG (Lightweight)|m
635|57|+ 93KG (Heavyweight)|m
636|57|63 - 70KG (Half-Middleweight)|m
637|57|70 - 80KG (Middleweight)|m
638|57|80 - 93KG (Half-Heavyweight)|m
639|37|Fleet/Match Race Keelboat Open (Soling)|m
640|37|Tempest|m
641|22|50M Running Target (30+30 Shots)|m
642|24|- 52KG, Total (Flyweight)|m
643|24|+ 110KG, Total (Super Heavyweight)|m
644|24|52 - 56KG, Total (Bantamweight)|m
645|24|91 - 110KG, Total (Heavyweight)|m
646|43|- 48KG (Light-Flyweight)|m
647|43|+ 100KG (Super Heavyweight)|m
648|43|48 - 52KG (Flyweight)|m
649|43|57 - 62KG (Featherweight)|m
650|43|62 - 68KG (Lightweight)|m
651|43|68 - 74KG (Welterweight)|m
652|43|74 - 82KG (Middleweight)|m
653|43|82 - 90KG (Light-Heavyweight)|m
654|43|90 - 100KG (Heavyweight)|m
655|25|- 48KG (Light-Flyweight)|m
656|25|+ 100KG (Super Heavyweight)|m
657|25|48 - 52KG (Flyweight)|m
658|25|57 - 62KG (Featherweight)|m
659|25|62 - 68KG (Lightweight)|m
660|25|68 - 74KG (Welterweight)|m
661|25|74 - 82KG (Middleweight)|m
662|25|82 - 90KG (Light-Heavyweight)|m
663|25|90 - 100KG (Heavyweight)|m
664|54|Basketball|w
665|55|C-1 500M (Canoe Single)|m
666|55|C-2 500M (Canoe Double)|m
667|55|K-1 500M (Kayak Single)|m
668|55|K-2 500M (Kayak Double)|m
669|56|Handball|w
670|35|Double Sculls (2X)|w
671|35|Eight With Coxswain (8+)|w
672|35|Four-Oared Shell With Coxswain (4-)|w
673|35|Pair Without Coxswain (2-)|w
674|35|Quadruple Sculls With Coxswain (4X)|w
675|35|Quadruple Sculls Without Coxswain (4X)|m
676|35|Single Sculls (1X)|w
677|37|470 - Two Person Dinghy|m
678|37|Tornado - Multihull|m
679|22|50M Rifle 3 Positions (3X40 Shots)|w
680|44|Hockey|w
681|57|- 60 KG|m
682|57|+ 95KG (Heavyweight)|m
683|57|60 - 65KG (Half-Lightweight)|m
684|57|65 - 71KG (Lightweight)|m
685|57|71 - 78KG (Half-Middleweight)|m
686|57|78 - 86KG (Middleweight)|m
687|57|86 - 95KG (Half-Heavyweight)|m
688|24|100 - 110KG, Total (Heavyweight)|m
689|24|90 - 100KG, Total (First-Heavyweight)|m
690|60|Duet|w
691|60|Solo|w
692|17|3000M|w
693|17|400M Hurdles|w
694|17|Heptathlon|w
695|17|Marathon|w
696|40|+ 91KG (Super Heavyweight)|m
697|40|81 - 91KG (Heavyweight)|m
698|55|K-4 500M (Kayak Four)|w
699|18|Individual Road Race|w
700|19|Points Race|m
701|50|Individual|w
702|61|Individual All-Round|w
703|37|Board (Windglider)|m
704|22|10M Air Rifle (40 Shots)|w
705|22|10M Air Rifle (60 Shots)|m
706|22|25M Pistol (30+30 Shots)|w
707|22|50M Rifle 3 Positions (3X20 Shots)|w
708|16|50M Freestyle|m
709|16|50M Freestyle|w
710|27|Teams Fita Round|m
711|17|10000M|w
712|19|Sprint|w
713|35|Quadruple Sculls Without Coxswain (4X)|w
714|37|470 - Two Person Dinghy|w
715|37|Board (Division Ii)|m
716|22|10M Air Pistol (40 Shots)|w
717|22|10M Air Pistol (60 Shots)|m
718|62|Doubles|m
719|62|Doubles|w
720|62|Singles|m
721|62|Singles|w
722|43|100 - 130KG (Super Heavyweight)|m
723|25|100 - 130KG (Super Heavyweight)|m
724|27|Individual (Fita Olympic Round - 70M)|m
725|27|Individual (Fita Olympic Round - 70M)|w
726|27|Team (Fita Olympic Round - 70M)|m
727|27|Team (Fita Olympic Round - 70M)|w
728|17|10000M Walk|w
729|63|Doubles|m
730|63|Doubles|w
731|63|Singles|m
732|63|Singles|w
733|64|Baseball|m
734|19|Individual Pursuit|w
735|57|- 48KG (Extra-Lightweight)|w
736|57|+ 72KG (Heavyweight)|w
737|57|48 - 52KG (Half-Lightweight)|w
738|57|52 - 56KG (Lightweight)|w
739|57|56 - 61KG (Half-Middleweight)|w
740|57|61 - 66KG (Middleweight)|w
741|57|66 - 72KG (Half-Heavyweight)|w
742|35|Coxless Four (4-)|w
743|37|Board (Lechner)|m
744|37|Board (Lechner)|w
745|37|Single-Handed Dinghy (Europe)|w
746|22|Skeet (125 Targets)|w
747|16|4X200M Freestyle Relay|w
748|60|Team|w
749|17|5000M|w
750|17|Triple Jump|w
751|18|Individual Time Trial|w
752|19|Points Race|w
753|65|Cross-Country|m
754|65|Cross-Country|w
755|20|Epee Individual|w
756|20|Epee Team|w
757|32|Football|w
758|61|Group Competition|w
759|57|+ 100KG (Heavyweight)|m
760|57|60 - 66KG (Half-Lightweight)|m
761|57|66 - 73KG (Lightweight)|m
762|57|73 - 81KG (Half-Middleweight)|m
763|57|81 - 90KG (Middleweight)|m
764|57|90 - 100KG (Half-Heavyweight)|m
765|35|Lightweight Coxless Four (4-)|m
766|35|Lightweight Double Sculls (2X)|m
767|35|Lightweight Double Sculls (2X)|w
768|37|Board (Mistral)|m
769|37|Board (Mistral)|w
770|37|Single-Handed Dinghy Open (Laser)|m
771|22|Double Trap (120 Targets)|w
772|22|Double Trap (150 Targets)|m
773|66|Softball|w
774|67|Beach Volleyball|m
775|67|Beach Volleyball|w
776|24|- 54KG, Total (Flyweight)|m
777|24|+ 108KG, Total (Super Heavyweight)|m
778|24|54 - 59KG, Total (Bantamweight)|m
779|24|59 - 64KG, Total (Featherweight)|m
780|24|64 - 70KG, Total (Lightweight)|m
781|24|70 - 76KG, Total (Middleweight)|m
782|24|76 - 83KG, Total (Light-Heavyweight)|m
783|24|83 - 91KG, Total (Middle-Heavyweight)|m
784|24|91 - 99KG, Total (First-Heavyweight)|m
785|24|99 - 108KG, Total (Heavyweight)|m
786|39|Synchronized Diving 10M Platform|m
787|39|Synchronized Diving 10M Platform|w
788|39|Synchronized Diving 3M Springboard|m
789|39|Synchronized Diving 3M Springboard|w
790|26|Water Polo|w
791|17|20KM Race Walk|w
792|17|Hammer Throw|w
793|17|Pole Vault|w
794|19|500M Time Trial|w
795|19|Keirin|m
796|19|Madison|m
797|19|Olympic Sprint|m
798|68|Individual|m
799|68|Individual|w
800|57|+ 78KG (Heavyweight)|w
801|57|52 - 57KG (Lightweight)|w
802|57|57 - 63KG (Half-Middleweight)|w
803|57|63 - 70KG (Middleweight)|w
804|57|70 - 78KG (Half-Heavyweight)|w
805|51|Individual Competition|w
806|37|49Er - Skiff|m
807|22|10M Running Target (30+30 Shots)|m
808|22|Skeet (75 Targets)|w
809|22|Trap (75 Targets)|w
810|69|- 49 KG|w
811|69|- 58 KG|m
812|69|+ 67 KG|w
813|69|+ 80 KG|m
814|69|49 - 57 KG|w
